feature,importance
categorical__industry_description_Crane rental with operator,0.0015487206589240498
categorical__industry_description_ Traffic signal installation,0.0015263535979565016
categorical__industry_description_ Ready-mix concrete manufacturing and distributing,0.0015038668353740188
"categorical__industry_description_ Container trucking services, long-distance (TL)",0.001502346715610694
categorical__state_NM,0.0014964707428655366
"categorical__industry_description_ Beans, dry, merchant wholesalers",0.001482576240426529
categorical__industry_description_ Road construction,0.0014808222834536188
"categorical__industry_description_ Warehousing (including foreign trade zones), general merchandise",0.0014793848508850424
"categorical__industry_description_ Home builders, for-sale",0.001470352011805394
categorical__industry_description_Canning fruits and vegetables,0.0014486105939582126
categorical__industry_description_Support Activities for Oil and Gas Operations,0.001434423410068206
categorical__state_GA,0.001429719684590641
"categorical__industry_description_,",0.00140521171385002
categorical__industry_description_ Fruit and tree nut combination farming,0.001404627193594397
categorical__state_RI,0.0014002150403395522
categorical__industry_description_ Computer and network cable installation,0.0013835101431429364
categorical__industry_description_Anodizing metals and metal products for the trade,0.001367638942529658
categorical__industry_description_Site Preparation Contractors,0.0013672934563676935
categorical__industry_description_ Ship repair done in a shipyard,0.0013641604800789988
categorical__industry_description_ Landscape care and maintenance services,0.001339780052197049
categorical__industry_description_ Foam polystyrene products manufacturing,0.0013367887282176416
categorical__industry_description_ Dairy cattle farming,0.0013319830748374257
categorical__industry_description_Hydroelectric power generation,0.0013291437495255762
"categorical__industry_description_ Garbage hauling, local",0.0013254015153326545
categorical__industry_description_Construction,0.001322583920063804
categorical__state_FL,0.0013172445656383343
categorical__industry_description_ Naval ship building,0.0012956673557582082
categorical__state_NY,0.0012919524056176582
categorical__industry_description_Grocery stores,0.0012839167266159477
categorical__industry_description_Sewage treatment plants or facilities,0.0012726270763742428
categorical__industry_description_ General warehousing and storage,0.0012690752381799078
categorical__industry_description_ Iron foundries,0.0012468653264377677
categorical__industry_description_Distribution of electric power,0.0012417875587410628
"categorical__industry_description_ Cranes, overhead traveling, manufacturing",0.0012281822955277366
"categorical__industry_description_ Chicken eggs (table, hatching) production",0.0012238865042590527
categorical__state_NV,0.001214150283842009
"categorical__industry_description_ Ambulance services, air or ground",0.00120592746863117
categorical__industry_description_Resort hotels with casinos,0.0012048088624517187
categorical__industry_description_Alloy steel manufacturer,0.0011915194487429324
"categorical__industry_description_ Construction management, power and communication transmission line",0.00118031525370971
categorical__state_WA,0.0011781876553939592
"categorical__industry_description_ Automobile dealers, new only or new and used",0.0011474392348342385
categorical__industry_description_ Painting and wallpapering,0.0011470330416087204
"categorical__industry_description_ Commercial printing (except screen, books)",0.0011424450342521464
categorical__industry_description_ Grocery stores,0.001140926385348468
categorical__state_LA,0.0011342629245905827
categorical__industry_description_Aluminum coating of metal products for the trade,0.001125101286290333
categorical__industry_description_Drywall installation,0.0011232663231228205
categorical__state_CO,0.0011166699199491252
categorical__industry_description_ Beef produced in slaughtering plants,0.001113288295887744
categorical__industry_description_Grain and Field Bean Merchant Wholesalers,0.0011077252328842574
categorical__industry_description_State police,0.0011045578360448602
categorical__state_ND,0.001095203360159866
"categorical__industry_description_ Motor vehicle moldings and extrusions, plastics, manufacturing",0.0010934436669472953
categorical__industry_description_Industrial chemicals merchant wholesalers,0.0010738849243492022
categorical__industry_description_Water and Sewer Line and Related Structures Construction,0.0010612244829568422
categorical__industry_description_Commercial flexographic printing (except books),0.001052159859106959
categorical__industry_description_ Motor vehicle merchant wholesalers,0.0010413676982590212
categorical__industry_description_ Arborist services,0.0010341466704517762
categorical__state_AL,0.0010340855269995767
"categorical__industry_description_ Concrete product (e.g., structural precast, structural prestressed) installation",0.0010325077655609642
"categorical__industry_description_ Fresh fruits, vegetables and berries merchant wholesalers",0.0010315014370867628
"categorical__industry_description_ Tanks, heavy gauge metal, manufacturing",0.0010238698808480305
"categorical__industry_description_Foundation, building, poured concrete, contractors",0.0010236793043387534
"categorical__industry_description_ Group homes, intellectual and developmental disability",0.0010179048544597293
categorical__industry_description_ General-line groceries merchant wholesalers,0.0010129885679465496
categorical__state_KS,0.0010081516149010462
"categorical__industry_description_ Addition, alteration and renovation for-sale builders, commercial and institutional building",0.0009987706307982504
categorical__industry_description_Supermarkets,0.0009918305371998425
categorical__industry_description_Pumping oil and gas wells on a contract basis,0.0009869363156935615
categorical__industry_description_Food Distribution,0.000986473822700301
categorical__industry_description_Local Public Transit,0.0009798609540794705
"categorical__industry_description_ Bottles, plastics, manufacturing",0.0009765684113593376
categorical__industry_description_Physical science research and development laboratories or services (except biotechnology research and development),0.0009742500856966526
categorical__state_NH,0.0009693283147300441
categorical__industry_description_Office management services,0.0009669092954414856
"categorical__industry_description_ Motor freight carrier, general, long-distance, less-than-truckload (LTL)",0.000965500024045996
categorical__state_UT,0.0009628014474035964
"categorical__industry_description_ Dimension lumber, hardwood, made from logs or bolts",0.0009501347489141696
categorical__industry_description_Railroad cars and car equipment manufacturing,0.0009401995630212513
categorical__state_DC,0.0009388832053459041
"categorical__industry_description_ Air passenger carriers, scheduled",0.0009321584668981892
categorical__industry_description_City and town managers' offices,0.0009272104110025506
categorical__state_AZ,0.0009228564723881566
categorical__state_IL,0.0009224892705697503
categorical__industry_description_Loading and unloading services at ports and harbors,0.0009198933772786609
categorical__industry_description_Vertical Transportation Company,0.0009196422087494317
categorical__industry_description_Motor vehicle metal parts stamping,0.0009182126852981421
"categorical__industry_description_Iron work, structural, contractors",0.0009166046835912576
"categorical__industry_description_Delivery service (except as part of intercity carrier network, U.S. Postal Service)",0.0009151034891315285
categorical__industry_description_ School bus services,0.0009143594041622482
categorical__industry_description_ Rigging large-scale equipment,0.0009132767754051691
categorical__industry_description_Carpet and Rug Mills,0.0009131593696384479
categorical__industry_description_ Acid oils made in petroleum refineries,0.0009118154008813103
"categorical__industry_description_ Grading, highway, road, street and airport runway",0.0009001310075678952
categorical__industry_description_Services-Facilities Support,0.0008982578444847139
categorical__industry_description_Drywall contractors,0.0008891254193850299
categorical__industry_description_General Medical and Surgical Hospitals,0.0008866242460311435
categorical__industry_description_Water supply systems,0.0008720529206183624
categorical__state_NJ,0.0008699680503429534
"categorical__industry_description_ Lift trucks, industrial, merchant wholesalers",0.0008678114243753235
categorical__industry_description_ Electrical work,0.0008605841216660711
categorical__industry_description_ Sawmills,0.000857423993282183
categorical__industry_description_Scaffold erecting and dismantling,0.0008514928833668844
categorical__industry_description_Structural steel erecting or iron work contractors,0.0008493955380484106
"categorical__industry_description_Primers, paint, manufacturing",0.0008404583875855348
categorical__industry_description_Discount department stores,0.0008392995836441581
categorical__industry_description_Home health agencies,0.000837987653532242
"categorical__industry_description_ Bulk storage tanks, heavy gauge metal, manufacturing",0.0008313518721198144
"categorical__industry_description_ Hotels (except casino hotels) with golf courses, tennis courts, and/or other health spa facilities (i.e., resorts)",0.0008299126563798948
"categorical__industry_description_Industrial truck (e.g., forklifts) repair and maintenance services",0.0008261544717659931
"categorical__industry_description_ Carpentry, framing",0.0008253871141375523
"categorical__industry_description_ Academies, college or university",0.0008207843924457449
"categorical__industry_description_ Valves, plumbing and heating, merchant wholesalers",0.0008160942582956316
"categorical__industry_description_Air cowls, sheet metal (except stampings), manufacturing",0.0008015625104344795
categorical__state_PR,0.0007958921196137424
categorical__state_IN,0.0007890278124136048
categorical__industry_description_ Central-mixed concrete manufacturing,0.0007842850185199724
"categorical__industry_description_ Envelope paper, bulk, merchant wholesalers",0.00077987864848464
categorical__industry_description_Miscellaneous Retail Stores - NEC,0.000774866797494546
categorical__industry_description_Building stone merchant wholesalers,0.0007728068926070572
categorical__industry_description_Landscape care and maintenance services,0.0007716084749270245
categorical__industry_description_ Low voltage electrical work,0.0007668968816762788
categorical__state_IA,0.0007626699853210228
categorical__state_PA,0.0007572585917504377
"categorical__industry_description_ Furniture stores (e.g., household, office, outdoor)",0.0007561347487927155
categorical__industry_description_Barrel heading and staves manufacturing,0.000742377468968593
categorical__industry_description_  Polyurethane foam products manufacturing,0.0007408273321694169
categorical__industry_description_Roof membrane installation,0.0007405211001475835
"categorical__industry_description_ Backfilling, construction",0.0007358530389598162
categorical__industry_description_Automobile and Other Motor Vehicle Merchant Wholesalers,0.0007357623474552238
categorical__industry_description_General public administration,0.0007293854794721072
"categorical__industry_description_ Steel mill products (e.g., bar, plate, rod, sheet, structural shapes) manufacturing",0.0007290088830680433
categorical__industry_description_ Stamping metal motor vehicle body parts,0.0007236196965240159
categorical__industry_description_Tree trimming services,0.0007220202277923575
categorical__industry_description_Materials recovery facilities (MRF),0.0007174709538541482
categorical__industry_description_Agricultural chemicals merchant wholesalers,0.0007146979603884704
"categorical__industry_description_ Telecommunications carriers, wired",0.0007132476095713088
categorical__industry_description_Wholesale Building Materials,0.0007123539113932262
"categorical__industry_description_ Shopping center (i.e., not operating contained businesses) rental or leasing",0.0007073812111680056
categorical__industry_description_ Painting traffic lanes or parking lots,0.0007051072330426601
categorical__industry_description_ Commercial building construction general contractors,0.0007043681666443799
categorical__industry_description_ Commercial building construction,0.0007027828596288299
"categorical__industry_description_ Alternative fuels, direct selling",0.0007009072622739976
categorical__industry_description_Telecommunications,0.0006985038371100085
"categorical__industry_description_ Building inspections, government",0.0006955728325922357
"categorical__industry_description_ Pavement, highway, road, street, bridge or airport runway, construction",0.0006929449318782856
"categorical__industry_description_ Bolts, nuts, and rivets, plastics, manufacturing",0.0006893882492291464
categorical__industry_description_Floor coverings merchant wholesalers,0.0006893217530944489
"categorical__industry_description_ Construction management, highway, road, street and bridge",0.0006857997542066473
"categorical__industry_description_ Dehydrating potato products (e.g., flakes, granules)",0.0006769347745205552
