annual_average_employees,total_hours_worked,naics_code,industry_description,establishment_type,size,state,fatal_incident,source
38,71136.0,492110,expressdeliveryservicesexceptestablishmentsoperatingunderuniversalserviceobligation,1.0,2,TN,0,OSHA_ITA_2016
44,107345.0,238160,roofingcontractors,1.0,2,LA,0,OSHA_ITA_2016
25,31411.0,561330,laborleasingservices,1.0,2,MI,0,OSHA_ITA_2016
544,1226788.0,334514,totalizingfluidmetersmanufacturing,1.0,3,AL,0,OSHA_ITA_2016
55,95521.0,238110,concretefinishing,1.0,2,MO,0,OSHA_ITA_2016
20,41963.0,332813,chromeplatingmetalsmetalproductstrade,1.0,2,OH,0,OSHA_ITA_2016
22,39591.0,531110,apartmentbuildingrentalleasing,1.0,2,GA,0,OSHA_ITA_2016
27,36043.0,561330,laborleasingservices,1.0,2,MI,0,OSHA_ITA_2016
3083,5363155.0,511191,greetingcardpublishersexceptexclusiveinternetpublishing,1.0,3,MO,0,OSHA_ITA_2016
97,173718.0,323111,printshopslithographicoffsetexceptprintingbooks,1.0,2,CT,0,OSHA_ITA_2016
84,154358.0,531110,apartmentbuildingrentalleasing,1.0,2,IL,0,OSHA_ITA_2016
72,153292.0,488210,locomotiverailcarrepairexceptfactoryconversionfactoryoverhaulfactoryrebuilding,1.0,2,GA,0,OSHA_ITA_2016
24,34918.0,221122,distributionelectricpower,1.0,2,PA,0,OSHA_ITA_2016
278,539609.0,314110,rugscarpetsmadetextilematerials,1.0,3,OH,0,OSHA_ITA_2016
74,156618.0,423120,motorvehiclepartsaccessoriesnewmerchantwholesalers,1.0,2,NM,0,OSHA_ITA_2016
42,80208.0,313210,blanketsbedspreadsmadebroadwovenfabricmills,1.0,2,TX,0,OSHA_ITA_2016
25,40522.0,623312,homeselderlynursingcare,1.0,2,NY,0,OSHA_ITA_2016
22,37057.0,531110,apartmentbuildingrentalleasing,Operating,2,GA,0,OSHA_ITA_2016
120,249600.0,237310,pavementhighwayroadstreetbridgeairportrunwayconstruction,1.0,2,FL,0,OSHA_ITA_2016
22,35612.0,221122,distributionelectricpower,1.0,2,PA,0,OSHA_ITA_2016
181,296309.0,333120,constructionmachinerymanufacturing,1.0,2,OH,0,OSHA_ITA_2016
72,161417.0,221122,distributionelectricpower,1.0,2,AL,0,OSHA_ITA_2016
